Track,Mean_Diff,CI_Lower,CI_Upper
Australia,-150.58,-176.37,-124.8
China,-216.88,-236.83,-196.94
Japan,-364.5,-389.13,-339.87
Bahrain,-440.96,-469.42,-412.5
Saudi Arabia,-15.17,-26.98,-3.37
Miami,-15.88,-30.11,-1.64
Emilia Romagna,33.31,12.12,54.51
Monaco,-209.19,-277.26,-141.13
Barcelona,-142.6,-160.93,-124.28
Canada,-365.04,-394.74,-335.34
Austria,-201.3,-223.38,-179.22
Britain,-475.6,-507.29,-443.91
Belgium,-42.05,-57.18,-26.91
Hungary,-51.18,-67.88,-34.49
Zandvoort,91.72,79.22,104.23
Monza,78.5,45.71,111.29
Azerbaijan,-19.95,-50.21,10.31
Singapore,108.32,94.49,122.16
United States,-107.98,-132.28,-83.67
Mexico City,127.11,97.76,156.46
Brazil,-66.88,-78.58,-55.17
Las Vegas,-181.25,-212.51,-149.99
Qatar,-422.51,-451.37,-393.66
Abu Dhabi,-15.65,-30.51,-0.79
